"Time_sec","MagnetsZ_mm","Extension_nm","expDetail","id"
172.66,-2,274.999,"expDetail","./sample.txt"
172.67,-2,242.348,"expDetail","./sample.txt"
172.68,-2,259.795,"expDetail","./sample.txt"
172.69,-2,246.254,"expDetail","./sample.txt"
172.7,-2,259.866,"expDetail","./sample.txt"
172.709,-2,238.496,"expDetail","./sample.txt"
172.719,-2,256.697,"expDetail","./sample.txt"
172.729,-2,233.603,"expDetail","./sample.txt"
172.739,-2,255.929,"expDetail","./sample.txt"
172.749,-2,294.705,"expDetail","./sample.txt"
172.759,-2,226.213,"expDetail","./sample.txt"
172.769,-2,231.045,"expDetail","./sample.txt"
172.779,-2,268.109,"expDetail","./sample.txt"
172.789,-2,262.523,"expDetail","./sample.txt"
172.798,-2,271.274,"expDetail","./sample.txt"
172.808,-2,265.2,"expDetail","./sample.txt"
172.818,-2,239.48,"expDetail","./sample.txt"
172.828,-2,283.81,"expDetail","./sample.txt"
172.837,-2,259.244,"expDetail","./sample.txt"
172.848,-2,235.867,"expDetail","./sample.txt"
172.858,-2,284.902,"expDetail","./sample.txt"
172.868,-2,233.4,"expDetail","./sample.txt"
172.877,-2,270.785,"expDetail","./sample.txt"
172.887,-2,235.365,"expDetail","./sample.txt"
172.897,-2,270.363,"expDetail","./sample.txt"
172.907,-2,253.858,"expDetail","./sample.txt"
172.916,-2,239.101,"expDetail","./sample.txt"
172.926,-2,238.16,"expDetail","./sample.txt"
172.936,-2,277.041,"expDetail","./sample.txt"
172.946,-2,256.2,"expDetail","./sample.txt"
172.957,-2,238.138,"expDetail","./sample.txt"
172.966,-2,270.337,"expDetail","./sample.txt"
172.976,-2,254.6,"expDetail","./sample.txt"
